ArtikelNr;Bezeichnung;VKNetto1;EAN1
ANR5223305816;Butter Cream Pan;2,99;
ANR7414453958;Cake;0;
ANR9763797335;Castera ;3,27;
ANR1322362573;Cream Pan;2,9;
ANR2149441672;Curry Pan;3,18;
ANR3796169118;Donut/Melon Pan;3,08;
ANR0468177674;Gare Duk;8,41;
ANR2641036959;Gim-Bap;3,74;
ANR1275658292;Reis cake 5-colour / Mozi;9,25;
ANR0859030448;Reis cake, Duk;8,88;
ANR7547049548;Rotebohnen Pan;2,99;
ANR5077291219;Sliced Bread;3,46;
ANR9219494442;Twist Pan;2,99;
ANR9458783585;Bulgogi Beef;0;
ANR9059163722;Bulgogi Beef 700g;18,69;
ANR8938131387;Shabu Shabu Beef;0;
ANR8035069301;Slice Pork 1kg;16,64;
ANR8775564207;1/2 Dan;3,27;
ANR4113455250;Chinakohl;0;
ANR0305988304;D. Lauch;0,93;
ANR1190611013;Dan;5,61;
ANR8588707445;Gemüse;0;
ANR5098281432;Mungosprossen;1,4;
ANR2271119637;Rettisch;0;
ANR5203249207;sliced lauch;2,8;
ANR9881659848;Sojasprossen;3,27;
ANR0922297016;Spinat;0;
9120086390251;Aloe King 1.5L;3,78;
8719497395156;Aloe Vera Getränk mit Mangogeschmack 500ml;1,68;
8719497395057;Aloe vera king 500ml;1,68;9120086390244
8809253649293;Apple ade;1,26;
8008440249203;Asahi Beer 330ml;2,18;
8806011618249;Bachus decafein;1,51;
9120027416354;Bamboo Chopsticks 100 Pairs;4,12;
8809005029823;Bebida refrescante de Sandia 350ml;1,72;
8801858011116;Bier Cass 6EA;5,04;
8801033776434;Black Vegemil 16 PCs * 190ml;13,61;
8809253644557;Catabile Black Americano;1,26;
8809253644564;Catabile sweet Americano;1,26;
8809018215480;Chateul Soju, Americano ;3,28;
8801152136676;Chem Soju, Sero ;3,36;
4017871800437;Choya sparkling 20cl;2,44;
4905846114972;Choya Ume 50ml*3EA;8,82;
4017871800413;Choya Ume Salute 75cl;7,14;
4905846118536;Choya, Craft Fruit 15.5% 700ml ;20,92;
4905846157511;Choya, Craft Fruit Kokuto 15% 700ml;20,92;
4905846112527;Choya, Extra Shio 15% 0.7L;23,45;
4905846114811;Choya, Extra Years 17% 0.7L;23,45;
4905846123646;Choya, original  10% 50cl;4,96;
4905846134093;Choya, original 10% 75cl;7,48;
4905846960050;Choya, silver  10% 50cl;5,46;
4017871800239;Choya, silver red 10% 50cl ;5,46;
8801056052898;Chum Soju, original ;3,28;
8802340112175;Chum Soju, w/apple ;3,28;
8802340112168;Chum Soju, w/peach ;3,28;
